,rating,title,text,average_rating,rating_number,year,month,day,hour
0,1,One Star,"don't fit like the picture, can't even wear them! :(",3.5,130,2016,2,17,0
1,1,Not for thick curly hair,"Unfortunately the product does not work well on thick curly hair. the maximum heat on the product is 250 degrees and it took an hour to try to straighten a quarter of my hair and it did not do that well. If you have thin fine hair that is wavy, it may work for you but for the people that have thick curly hair... don't waste your money.",3.3,1037,2015,11,10,19
2,1,Washed out after one shampoo and not vibrant,Not long lasting at all!,4.1,400,2018,6,13,8
3,1,"It’s not as good as advertised. I won’t purchase again,",I didn’t like this product.,4.2,120,2023,3,26,18
4,1,One Star,Did not work when plugged it in. Got money back from Amazon not seller.,3.3,1037,2017,1,18,5
5,1,Skin rash for sensitive skin,My tween boy with sensitive skin broke out in a face rash with the first use. Bummed!,4.1,74,2017,4,27,17
6,1,Waste of money!!,Terrible! The plastic piece to keep cymbal in place was missing! And drums are not sturdy. Kept falling over. And will not stay attached. In the trash within thirty minutes of opening. Do not buy!!,3.2,484,2019,6,10,23
7,1,Dont buy,These are really awful,3.4,2,2019,9,7,11
8,1,Don’t waste you money,Poor directions...not clear and impossible to see,4.1,282,2020,11,16,23
9,1,Didn't work well for me. I have a different ...,Didn't work well for me. I have a different natural deoderant brand I prefer that actually works keeping me odor free.,3.6,176,2017,8,12,21
10,1,Snapped during first use!,"Just received this today and it snapped in half the first time I used it! I realize it is made of glass, but I was not putting much pressure on it at all. I can not recommend this product.",4.0,231,2018,5,8,18
11,1,Not worth buying cheap product,I bought this brush cleaner as a Xmas gift for my daughter-in-law.  She just informed me that it just broke...stopped working completely.  I would expect it to last for more than 4 months. Save yourself the time and money and do not buy this product it will not last.,4.1,227,2020,4,16,4
12,1,Useless,Spend the extra money get a good quality one. This one is plastic crappy and gets everything in the house wet,3.6,1291,2022,2,1,22
13,1,Piece of junk,Very cheaply made/used it once/it broke. ☹️,2.7,268,2020,12,16,20
14,1,"If crunchy hair is what you want, then this is your product!",This product would probably be great for those trying for the beachy look.,3.9,66,2017,7,12,0
15,1,Don't waste your money,"Complete waste of money. This never cured my nails after 2+ hrs, my nails were still sticky.",3.4,45,2015,2,8,17
16,1,Do Not Buy Not Worth It!!,Wasn't What I Expected!! Very Disappointed!!,3.6,72,2021,6,3,23
17,1,Not what I expected,"I am a person that has extremely sensitive skin and wanted to start being more holistic regarding my eating, health, etc.  So I was very excited to find this on amazon and read the reviews.  After reading the ingredients I was sold.  About 2 weeks after I started using it I noticed a rash under both my arms I couldn't believe it and my underarms where very rough.  So either this is not all natural, I'm allergic to the ingredients or amazon sent me a bad product.  Either way I will not be using this again.  So disappointed...",3.5,78,2016,3,2,14
18,1,One Star,Havent,4.0,1774,2017,6,30,23
19,1,Not worth it,Hurts to take off but didn't see much improvement at all,3.6,330,2017,3,24,14
20,1,Do not purchase from this person,I just took this out of the package and it has a hair in it already like it's used very disgusting,3.3,5,2021,7,27,19
