rating,review
5,"Five Stars
Love these! They are so cute!"
1,"could not get these to stay in place without lifting
could not get these to work; didn't stick/ very unhappy with purchase"
1,"Painful Metal Headgear
This item is metal and it is painful to wear."
4,"Four Stars
works as expected"
4,"2 for one, nice pillow sprayer.
So being a retail, mall sloosh, I love all the pretty pretty and nice stuff they got. THEN I manhandled my neice and said, &#34;I won't buy you that!&#34;. Wait in the mail, to get an atomizer & fill it with better stuff! They don't appreciate it. But nice, cute, refillable for scents."
3,"It's ok. It works, but works the same ...
It's ok. It works, but works the same as cheaper models. Nothing special about this brand that makes it worth higher price tag."
5,"the best!!!!
My absolute favorite in my collection! Love it! Wish it came by the gallon!!"
4,"I would repurchase this item again
I really like that it comes in small individual portions..although just 1 pill goes a long way. I'm sure if you don't exfoliate or scrub your face every day it will last longer, but mines only lasted a week. There are a lot of applications remaining so I think its a good product."
2,"It’s just OK
This hair is nice out of the package but the hair gets very frizzy while installing."
2,"Not good. I used this product to cover some grey ...
Not good. I used this product to cover some grey hairs on my eyebrows and hairline. Initial application color was ok. But after about two washes, my hair turned orange. The product specifically says it will 'cover the most resistant grey hair for up to 6 weeks'. Not true. Not worth the money."
3,"not worth it
they did not stick to nails well and fell off easily"
1,"NOT ORGANIC!
Not at all like they're described. Immediately sent them back."
2,"Cute but..Waste of money
Very small and hair slowly falls out. The teeth to pull the hair together doesnt work.."
3,"Cute but don't stay.
We got these for my daughters volleyball team. Theu look cute on, but they did not stay in very well."
5,"Brush cleaner
Love it to clean my brushes. After cleaning they count out almost completely dry."
4,"Works well for undercoating.
Short haired, double coat, Belgian Maligator."
4,"but it sure feels better and is more manageable
Don't know if my hairs growing any more, but it sure feels better and is more manageable. I'll give it longer and report back."
5,"Very quiet and easy to use. Gave my son his first haircut!
It's great! My son  was fine getting his hair cut with this. It was easy to use, light weight and cordless. This is amazing. My son is almost 4 and we wish we were able to find this sooner! Thank you Bolo!"
3,"Very Cute!
Very cute wig!  It can be dressed down for running errands or dressed up for a night out on the town."
5,"best Setting Spray Ever!
I have tried so many setting sprays, most have not worked.  This is the only spray that works to keep my makeup in place despite sweat or rain.  The directions are all in Japanese, so to use, you shake 10 times and spray on the places you want to set.  Do not spray without shaking!"
5,"I’m very happy
Very long but easy to trim down with nail clippers and a good file.  Covid has driven me to use the glue on nails.  I get lots of compliments.  Will probably stick with doing the glue one.  They look very pretty and are a fraction of going to a shop"
4,"works well
My husband has been using this for a while now and it has lasted a long time with good battery power. He has a pretty thick beard and while the vacuum part isn't as good as I had hoped, it picks up a lot more than a normal razor."
4,"Great product
Love the product, the oil smells really good. I wonder if the balm can be a little smoother or something. I feel I have to dig it out sometimes but I love the ingredients good product!!!"
5,"Finally, Armpit Comfort
I won't name the very well promoted OTHER deodorant I tried, but it actually only worked the first day and seemed to actually enhance my armpit stink if I tried to go a second day. Native really works and smells delicious. If I end up going into a second day w/out shower & new deodorant application until late in the day, I never get stinky."
4,"Nice little comb!
The product came as expected. I like the fact that you can close the product into a compact form."
5,"Best stuff ever!
If you want to grow your own nails, this is by far the best base/top coat you can purchase."
1,"It was flaky and if you sweat it would peel right off.
It was too flaky"
3,"Ok…
The eyeshadow is not very smooth or silky and it doesn’t blend great."
1,"Only 1, not 2
Says pack of 2, was actually only 1."
1,"Kinda dried out my hair
Rice water works way better"
3,"No sensitivity but the device stopped working after 7 days
I have mixed reviews. The product works well and there is no sensitivity. My teeth are sensitive to cold air, and with this product I was finally able to not worry! After the third day I realized I was placing too much gel on my gums, after that I had zero sensitivity!!! The reason the product is getting three stars is because it stopped charging and working after day 7. My teeth are not as white as I had hoped they would be, but that may be due to my genetics. Honestly, I was so excited about this product not making my teeth sensitive that I might still consider getting it again. I'm worried if I do get it again and it stops working after the return period I won't be able to get my money back. The device should not have stopped working after seven days...."
4,"Good quality, light weight, a little thin, sheds a little. Fits large heads to.
[[VIDEOID:514d411fc4b4a7765c5240123e36eb73]] Very cute. A little thin but light weight. Yes it does shed a little so handle with care. You need to style it yourself so don't expect it to look like the models when yoi receive it. I've had it on all day so its a little messy. Feels great, for large heads to. Trust I know because I have a large head. Lol. ❤✌"
1,"Requires additonal work to sty on
I shouold have returned this product.  I doesn't stay attached.  Waste of money."
5,"Works great on my hair
This detangler works well with my  hair. It does not snag or pull my hair out. I have less shedding using this detangling brush."
3,"Difficult to maneuver
I decided to try this as my first ""super soft"" toothbrush. It's a gorgeous toothbrush and the bristles feel good in my mouth. However, because there are so many bristles, the head is very puffy and large so it's difficult to maneuver around my mouth. I don't think my teeth are getting as clean as they should be, even with spending 3 to 4 minutes brushing each time. It's an overly large, awkward toothbrush."
2,"Not true to size
The model in the photos is wearing a much larger bow. The one I received is smaller in comparison."
5,"Five Stars
love it!"
2,"Don’t recommend
I was very disappointed with this flat iron. Every time I used it my finger would turn it off. Plus it pulled my hair ."
5,"Favorite
Loved the smell n the color"
5,"I love these brow pens
Really love these eyebrow pens. Easy to use with angled shape; stays on all day."
3,"it smells good. I may not be using it long enough ...
I don't really think this is working, it smells good. I may not be using it long enough to tell results but I can't notice any difference after two weeks"
1,"Does not work.  Did not heat and did not whiten teeth.
I am very disappointed in this product.  It did not work.  It was supposed to use heat and light to help the peroxide gel whiten my teeth.  The device did not heat and the light was not very good either.  My teeth did not whiten as well with this much more expensive product than a less expensive product I had bought previously did."
3,"Good but doesn't last long
I wish it lasted longer, but maybe it's just my oily skin (when I do henna art, it only lasts a 3 days before it becomes patchy on my skin). Pretty good color pay off but I did experience some irritation while the paste was on. The dye lasted for about 3-4 days before significantly fading."
4,"Great producut
Overall this is a great product. If you have never used an epilator before it does take some getting use to. I have had the product for about a month now and each time I use it the pain is less. The best part about this product is it can be used in the bath or shower. Some epilator's say wet & dry on them but they just mean you can use some kind of body gel wtih them. Using this in the shower really does help alot. Also having a shaving attachment helps when you are in a hurry and don't have time to really epilate (or in my case do the area's your too scared to try just yet like your armpits). I would have given the product a 5 star if the Olay wipes that came with it had some type of numbing effect."
2,"Different light was sent
this is not the light that was sent to me the one I got it is ok but not this one disappointed"
